reaction_smiles,shown_option_1,shown_option_1_slots,shown_option_2,shown_option_2_slots,user_choice,is_option_1_GT
[CH2:30]1[CH2:29][O:28][CH2:27][CH2:26][NH:25]1.[CH2:24]=[CH:23][S:20](=[O:21])(=[O:22])[c:19]1[cH:18][cH:17][c:16]2[n:15][c:14]([NH:13][C:2](=[O:1])[NH:3][C:4](=[O:5])[c:6]3[cH:7][cH:8][cH:9][cH:10][c:11]3[Cl:12])[s:33][c:32]2[cH:31]1>>[O:1]=[C:2]([NH:3][C:4](=[O:5])[c:6]1[cH:7][cH:8][cH:9][cH:10][c:11]1[Cl:12])[NH:13][c:14]1[n:15][c:16]2[cH:17][cH:18][c:19]([S:20](=[O:21])(=[O:22])[CH2:23][CH2:24][N:25]3[CH2:26][CH2:27][O:28][CH2:29][CH2:30]3)[cH:31][c:32]2[s:33]1,C1CCOC1,Solvent,C1CCOC1,Solvent,Tie,True
[CH2:11]=[CH:12][S:13]([CH3:14])(=[O:15])=[O:16].[CH3:1][CH2:2][O:3][c:4]1[cH:5][c:6]([CH:7]2[CH2:8][CH2:9][NH:10][CH2:17][CH2:18]2)[cH:19][cH:20][c:21]1[NH:22][C:23](=[O:24])[C:25]([F:26])([F:27])[F:28]>>[CH3:1][CH2:2][O:3][c:4]1[cH:5][c:6]([CH:7]2[CH2:8][CH2:9][N:10]([CH2:11][CH2:12][S:13]([CH3:14])(=[O:15])=[O:16])[CH2:17][CH2:18]2)[cH:19][cH:20][c:21]1[NH:22][C:23](=[O:24])[C:25]([F:26])([F:27])[F:28],"CO, ClCCl, CC(=O)O, O=C([O-])[O-].[K+].[K+]","Catalyst, Solvent, Reagent, Reagent",C1COCCO1,Solvent,Option 2,True
[CH2:49]1[CH2:48][O:47][CH2:46][CH2:45][NH:44]1.[CH2:43]=[CH:42][S:39](=[O:40])(=[O:41])[NH:38][c:37]1[cH:36][c:6]([C:7](=[O:8])[O:9][C@@H:10]([CH2:11][c:12]2[c:13]([Cl:14])[cH:15][n+:16]([O-:17])[cH:18][c:19]2[Cl:20])[c:21]2[cH:22][cH:23][c:24]([O:25][CH:26]([F:27])[F:28])[c:29]([O:30][CH2:31][CH:32]3[CH2:33][CH2:34]3)[cH:35]2)[cH:5][cH:4][c:3]1[O:2][CH3:1]>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([C:7](=[O:8])[O:9][C@@H:10]([CH2:11][c:12]2[c:13]([Cl:14])[cH:15][n+:16]([O-:17])[cH:18][c:19]2[Cl:20])[c:21]2[cH:22][cH:23][c:24]([O:25][CH:26]([F:27])[F:28])[c:29]([O:30][CH2:31][CH:32]3[CH2:33][CH2:34]3)[cH:35]2)[cH:36][c:37]1[NH:38][S:39](=[O:40])(=[O:41])[CH2:42][CH2:43][N:44]1[CH2:45][CH2:46][O:47][CH2:48][CH2:49]1,"C1CCOC1, O","Solvent, Solvent",,,Bad,True
[CH2:27]=[CH:26][S:23](=[O:24])(=[O:25])[NH:22][C@@H:21]1[CH2:20][CH2:19][c:18]2[c:13](-[c:12]3[cH:11][n:10][c:9](-[c:8]4[cH:7][cH:6][c:5]([O:4][CH:2]([CH3:1])[CH3:3])[c:37]([C:38]#[N:39])[cH:36]4)[s:35]3)[cH:14][cH:15][cH:16][c:17]21.[OH:33][C@@H:32]1[CH2:31][CH2:30][CH2:29][NH:28][CH2:34]1>>[CH3:1][CH:2]([CH3:3])[O:4][c:5]1[cH:6][cH:7][c:8](-[c:9]2[n:10][cH:11][c:12](-[c:13]3[cH:14][cH:15][cH:16][c:17]4[c:18]3[CH2:19][CH2:20][C@H:21]4[NH:22][S:23](=[O:24])(=[O:25])[CH2:26][CH2:27][N:28]3[CH2:29][CH2:30][CH2:31][C@@H:32]([OH:33])[CH2:34]3)[s:35]2)[cH:36][c:37]1[C:38]#[N:39],"CN(C)C=O, Cl","Solvent, Reagent",,,Bad,True
[CH2:11]1[CH2:10][NH:9][CH2:8][CH2:7][NH:6]1.[CH2:5]=[CH:4][S:2](=[O:3])(=[O:1])[NH:12][CH2:13][c:14]1[n:15][c:16]2[cH:17][cH:18][c:19](-[c:20]3[cH:21][nH:22][c:23]4[cH:24][c:25]([F:26])[cH:27][cH:28][c:29]34)[cH:30][c:31]2[o:32]1>>[O:1]=[S:2](=[O:3])([CH2:4][CH2:5][N:6]1[CH2:7][CH2:8][NH:9][CH2:10][CH2:11]1)[NH:12][CH2:13][c:14]1[n:15][c:16]2[cH:17][cH:18][c:19](-[c:20]3[cH:21][nH:22][c:23]4[cH:24][c:25]([F:26])[cH:27][cH:28][c:29]34)[cH:30][c:31]2[o:32]1,"C1CCOC1, CC#N","Solvent, Solvent",,,Option 1,True
[CH2:15]=[CH:16][S:17](=[O:18])(=[O:19])[O:20][c:21]1[cH:22][cH:23][cH:24][cH:25][cH:26]1.[CH3:1][CH:2]([CH3:3])[C@H:4]([NH:5][C:6](=[O:7])[c:8]1[c:9]([CH2:10][N:11]2[CH2:12][CH2:13][NH:14][CH2:27][CH2:28]2)[c:29](-[c:30]2[cH:31][cH:32][cH:33][cH:34][cH:35]2)[n:36][c:37]2[cH:38][cH:39][cH:40][cH:41][c:42]12)[c:43]1[cH:44][cH:45][cH:46][cH:47][cH:48]1>>[CH3:1][CH:2]([CH3:3])[C@H:4]([NH:5][C:6](=[O:7])[c:8]1[c:9]([CH2:10][N:11]2[CH2:12][CH2:13][N:14]([CH2:15][CH2:16][S:17](=[O:18])(=[O:19])[O:20][c:21]3[cH:22][cH:23][cH:24][cH:25][cH:26]3)[CH2:27][CH2:28]2)[c:29](-[c:30]2[cH:31][cH:32][cH:33][cH:34][cH:35]2)[n:36][c:37]2[cH:38][cH:39][cH:40][cH:41][c:42]12)[c:43]1[cH:44][cH:45][cH:46][cH:47][cH:48]1,ClCCl,Solvent,CC#N,Solvent,Tie,True
[CH2:6]=[CH:5][S:2]([CH3:1])(=[O:3])=[O:4].[O:13]=[C:12]([NH:14][c:15]1[cH:16][cH:17][c:18]2[n:19][c:20]([NH:21][C@@H:22]3[CH2:23][CH2:24][c:25]4[cH:26][cH:27][cH:28][cH:29][c:30]43)[cH:31][cH:32][c:33]2[cH:34]1)[NH:11][CH:10]1[CH2:9][CH2:8][NH:7][CH2:36][CH2:35]1>>[CH3:1][S:2](=[O:3])(=[O:4])[CH2:5][CH2:6][N:7]1[CH2:8][CH2:9][CH:10]([NH:11][C:12](=[O:13])[NH:14][c:15]2[cH:16][cH:17][c:18]3[n:19][c:20]([NH:21][C@@H:22]4[CH2:23][CH2:24][c:25]5[cH:26][cH:27][cH:28][cH:29][c:30]54)[cH:31][cH:32][c:33]3[cH:34]2)[CH2:35][CH2:36]1,CN(C)C=O,Solvent,"C1CCOC1, CCN(CC)CC, CCOC(C)=O","Solvent, Reagent, Reagent",Option 2,False
[CH2:11]=[CH:12][S:13]([CH3:14])(=[O:15])=[O:16].[CH3:1][CH2:2][O:3][c:4]1[cH:5][c:6]([N:7]2[CH2:8][CH2:9][NH:10][CH2:17][CH2:18]2)[cH:19][cH:20][c:21]1[N+:22](=[O:23])[O-:24]>>[CH3:1][CH2:2][O:3][c:4]1[cH:5][c:6]([N:7]2[CH2:8][CH2:9][N:10]([CH2:11][CH2:12][S:13]([CH3:14])(=[O:15])=[O:16])[CH2:17][CH2:18]2)[cH:19][cH:20][c:21]1[N+:22](=[O:23])[O-:24],C1COCCO1,Solvent,C1COCCO1,Solvent,Tie,True
[CH2:24]=[CH:23][S:20](=[O:21])(=[O:22])[NH:19][c:18]1[cH:17][c:6]([C:7](=[O:8])[O:9][CH2:10][c:11]2[cH:12][cH:13][cH:14][cH:15][cH:16]2)[cH:5][cH:4][c:3]1[O:2][CH3:1].[CH3:29][N:28]1[CH2:27][CH2:26][NH:25][CH2:31][CH2:30]1>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([C:7](=[O:8])[O:9][CH2:10][c:11]2[cH:12][cH:13][cH:14][cH:15][cH:16]2)[cH:17][c:18]1[NH:19][S:20](=[O:21])(=[O:22])[CH2:23][CH2:24][N:25]1[CH2:26][CH2:27][N:28]([CH3:29])[CH2:30][CH2:31]1,CCO,Solvent,CCO,Solvent,Bad,False
[CH2:38]1[CH2:39][CH2:40][NH:35][CH2:36][CH2:37]1.[CH2:34]=[CH:33][S:30](=[O:31])(=[O:32])[N:29]1[CH2:28][CH2:27][N:26]([c:25]2[n:24][c:17]([N:18]3[CH2:19][CH2:20][O:21][CH2:22][CH2:23]3)[n:16][c:15](-[n:14]3[c:10]([CH:11]([F:12])[F:13])[n:9][c:8]4[c:3]([O:2][CH3:1])[cH:4][cH:5][cH:6][c:7]34)[n:43]2)[CH2:42][CH2:41]1>>[CH3:1][O:2][c:3]1[cH:4][cH:5][cH:6][c:7]2[c:8]1[n:9][c:10]([CH:11]([F:12])[F:13])[n:14]2-[c:15]1[n:16][c:17]([N:18]2[CH2:19][CH2:20][O:21][CH2:22][CH2:23]2)[n:24][c:25]([N:26]2[CH2:27][CH2:28][N:29]([S:30](=[O:31])(=[O:32])[CH2:33][CH2:34][N:35]3[CH2:36][CH2:37][CH2:38][CH2:39][CH2:40]3)[CH2:41][CH2:42]2)[n:43]1,"C1CCOC1, C1COCCO1","Solvent, Reagent","C1CCOC1, C1COCCO1","Solvent, Reagent",Tie,False
[CH2:11]=[CH:10][S:7](=[O:8])(=[O:9])[c:6]1[cH:5][cH:4][c:3]([O:2][CH3:1])[c:16]([S:17](=[O:18])(=[O:19])[NH:20][c:21]2[cH:22][cH:23][cH:24][cH:25][c:26]2[NH:27][S:28](=[O:29])(=[O:30])[c:31]2[cH:32][c:33]3[cH:34][cH:35][cH:36][cH:37][c:38]3[s:39]2)[cH:15]1.[CH3:13][NH:12][CH3:14]>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([S:7](=[O:8])(=[O:9])[CH2:10][CH2:11][N:12]([CH3:13])[CH3:14])[cH:15][c:16]1[S:17](=[O:18])(=[O:19])[NH:20][c:21]1[cH:22][cH:23][cH:24][cH:25][c:26]1[NH:27][S:28](=[O:29])(=[O:30])[c:31]1[cH:32][c:33]2[cH:34][cH:35][cH:36][cH:37][c:38]2[s:39]1,C1CCOC1,Solvent,C1CCOC1,Solvent,Tie,True
[CH2:15]=[CH:14][S:11](=[O:12])(=[O:13])[NH:10][c:9]1[cH:8][cH:7][cH:6][c:5](-[c:4]2[cH:3][c:2]([CH3:1])[c:23]([C:24]3=[C:25]([OH:26])[C:27]4([CH2:28][CH2:29][CH2:30][CH2:31][CH2:32]4)[O:33][C:34]3=[O:35])[cH:22][c:20]2[Cl:21])[cH:19]1.[CH3:17][NH:16][CH3:18]>>[CH3:1][c:2]1[cH:3][c:4](-[c:5]2[cH:6][cH:7][cH:8][c:9]([NH:10][S:11](=[O:12])(=[O:13])[CH2:14][CH2:15][N:16]([CH3:17])[CH3:18])[cH:19]2)[c:20]([Cl:21])[cH:22][c:23]1[C:24]1=[C:25]([OH:26])[C:27]2([CH2:28][CH2:29][CH2:30][CH2:31][CH2:32]2)[O:33][C:34]1=[O:35],CCO,Solvent,CCO,Solvent,Tie,True
[CH2:4]=[CH:5][S:6](=[O:7])(=[O:8])[NH:9][CH:10]1[CH2:11][CH2:12][N:13]([c:14]2[cH:15][cH:16][c:17](-[c:18]3[cH:19][nH:20][c:21]4[cH:22][c:23]([F:24])[cH:25][cH:26][c:27]34)[cH:28][n:29]2)[CH2:30][CH2:31]1.[CH3:1][NH:2][CH3:3]>>[CH3:1][N:2]([CH3:3])[CH2:4][CH2:5][S:6](=[O:7])(=[O:8])[NH:9][CH:10]1[CH2:11][CH2:12][N:13]([c:14]2[cH:15][cH:16][c:17](-[c:18]3[cH:19][nH:20][c:21]4[cH:22][c:23]([F:24])[cH:25][cH:26][c:27]34)[cH:28][n:29]2)[CH2:30][CH2:31]1,C1CCOC1,Solvent,C1CCOC1,Solvent,Tie,True
[CH2:37]=[CH:36][S:33](=[O:34])(=[O:35])[NH:32][c:31]1[cH:41][cH:42][c:43]2[s:44][c:27]([C:25](=[O:26])[NH:24][c:23]3[cH:22][c:20]([Cl:21])[cH:19][c:18]([C:15]([CH3:16])([CH3:17])[c:14]4[cH:46][c:5]([O:4][CH:2]([CH3:1])[CH3:3])[cH:6][c:7]([O:8][C:9]([F:10])([F:11])[F:12])[cH:13]4)[cH:45]3)[cH:28][c:29]2[cH:30]1.[CH3:39][NH:38][CH3:40]>>[CH3:1][CH:2]([CH3:3])[O:4][c:5]1[cH:6][c:7]([O:8][C:9]([F:10])([F:11])[F:12])[cH:13][c:14]([C:15]([CH3:16])([CH3:17])[c:18]2[cH:19][c:20]([Cl:21])[cH:22][c:23]([NH:24][C:25](=[O:26])[c:27]3[cH:28][c:29]4[cH:30][c:31]([NH:32][S:33](=[O:34])(=[O:35])[CH2:36][CH2:37][N:38]([CH3:39])[CH3:40])[cH:41][cH:42][c:43]4[s:44]3)[cH:45]2)[cH:46]1,C1CCOC1,Solvent,C1CCOC1,Solvent,Tie,False
[CH2:4]=[CH:5][S:6](=[O:7])(=[O:8])[N:9]1[CH2:10][CH2:11][N:12]([C:13](=[O:14])[O:15][CH2:16][c:17]2[cH:18][cH:19][cH:20][cH:21][cH:22]2)[CH2:23][CH2:24]1.[CH3:1][NH:2][CH3:3]>>[CH3:1][N:2]([CH3:3])[CH2:4][CH2:5][S:6](=[O:7])(=[O:8])[N:9]1[CH2:10][CH2:11][N:12]([C:13](=[O:14])[O:15][CH2:16][c:17]2[cH:18][cH:19][cH:20][cH:21][cH:22]2)[CH2:23][CH2:24]1,,,"C1CCOC1, O","Solvent, Solvent",Bad,False
[CH2:6]=[CH:5][S:2](=[O:3])(=[O:1])[F:4].[NH2:7][c:8]1[cH:9][cH:10][c:11]([Cl:12])[c:13]([Cl:14])[cH:15]1>>[O:1]=[S:2](=[O:3])([F:4])[CH2:5][CH2:6][NH:7][c:8]1[cH:9][cH:10][c:11]([Cl:12])[c:13]([Cl:14])[cH:15]1,"CC#N, O=C([O-])[O-].[Cs+].[Cs+]","Solvent, Reagent","O, CN(C)C=O","Solvent, Reagent",Option 1,False
[CH2:23]=[CH:24][S:25]([CH3:26])(=[O:27])=[O:28].[CH3:1][CH:2]([CH3:3])[O:4][c:5]1[cH:6][cH:7][c:8](-[c:9]2[n:10][c:11](-[c:12]3[cH:13][cH:14][cH:15][c:16]4[c:17]3[CH2:18][CH2:19][CH2:20][C@H:21]4[NH2:22])[n:29][o:30]2)[cH:31][c:32]1[C:33]#[N:34]>>[CH3:1][CH:2]([CH3:3])[O:4][c:5]1[cH:6][cH:7][c:8](-[c:9]2[n:10][c:11](-[c:12]3[cH:13][cH:14][cH:15][c:16]4[c:17]3[CH2:18][CH2:19][CH2:20][C@H:21]4[NH:22][CH2:23][CH2:24][S:25]([CH3:26])(=[O:27])=[O:28])[n:29][o:30]2)[cH:31][c:32]1[C:33]#[N:34],CC(=O)N(C)C,Solvent,"CC(=O)N(C)C, Cl","Solvent, Reagent",Option 1,False
[CH2:16]=[CH:17][S:18]([CH3:19])(=[O:20])=[O:21].[CH3:1][CH2:2][n:3]1[n:4][c:5]([C:6]#[N:7])[c:8]([Br:9])[c:10]1[CH2:11][C:12]([CH3:13])([CH3:14])[NH2:15]>>[CH3:1][CH2:2][n:3]1[n:4][c:5]([C:6]#[N:7])[c:8]([Br:9])[c:10]1[CH2:11][C:12]([CH3:13])([CH3:14])[NH:15][CH2:16][CH2:17][S:18]([CH3:19])(=[O:20])=[O:21],Cc1ccccc1,Solvent,CO,Solvent,Tie,True
[CH2:6]=[CH:7][S:8](=[O:9])(=[O:10])[CH2:11][c:12]1[cH:13][cH:14][c:15]([Br:16])[cH:17][cH:18]1.[CH3:1][CH2:2][C@@H:3]([CH3:4])[NH2:5]>>[CH3:1][CH2:2][C@@H:3]([CH3:4])[NH:5][CH2:6][CH2:7][S:8](=[O:9])(=[O:10])[CH2:11][c:12]1[cH:13][cH:14][c:15]([Br:16])[cH:17][cH:18]1,ClCCl,Solvent,ClCCl,Solvent,Tie,True
[CH2:7]=[CH:6][S:3](=[O:4])(=[O:5])[CH2:2][CH3:1].[CH3:10][CH:9]([NH2:8])[c:11]1[n:12][c:13]2[cH:14][cH:15][c:16]([F:17])[cH:18][n:19]2[c:20](=[O:21])[c:22]1[Br:23]>>[CH3:1][CH2:2][S:3](=[O:4])(=[O:5])[CH2:6][CH2:7][NH:8][CH:9]([CH3:10])[c:11]1[n:12][c:13]2[cH:14][cH:15][c:16]([F:17])[cH:18][n:19]2[c:20](=[O:21])[c:22]1[Br:23],"CO, CCN(CC)CC","Solvent, Reagent",CC(=O)N(C)C,Solvent,Option 1,True
[CH2:9]=[CH:8][S:5](=[O:6])(=[O:7])[O:4][CH:2]([CH3:1])[CH3:3].[CH3:17][CH:16]([CH3:18])[Si:15]([O:14][CH2:13][CH2:12][CH2:11][NH2:10])([CH:19]([CH3:20])[CH3:21])[CH:22]([CH3:23])[CH3:24]>>[CH3:1][CH:2]([CH3:3])[O:4][S:5](=[O:6])(=[O:7])[CH2:8][CH2:9][NH:10][CH2:11][CH2:12][CH2:13][O:14][Si:15]([CH:16]([CH3:17])[CH3:18])([CH:19]([CH3:20])[CH3:21])[CH:22]([CH3:23])[CH3:24],CO,Solvent,CO,Solvent,Tie,False
[CH2:21]=[CH:22][S:23]([CH3:24])(=[O:25])=[O:26].[CH3:1][c:2]1[n:3][c:4]2[c:5]([Cl:6])[n:7][c:8]3[cH:9][cH:10][cH:11][cH:12][c:13]3[c:14]2[n:15]1[CH2:16][C:17]([CH3:18])([CH3:19])[OH:20]>>[CH3:1][c:2]1[n:3][c:4]2[c:5]([Cl:6])[n:7][c:8]3[cH:9][cH:10][cH:11][cH:12][c:13]3[c:14]2[n:15]1[CH2:16][C:17]([CH3:18])([CH3:19])[O:20][CH2:21][CH2:22][S:23]([CH3:24])(=[O:25])=[O:26],"C1CCOC1, O, [H-].[Na+]","Solvent, Reagent, Reagent","C1CCOC1, [H-].[Na+], O","Solvent, Reagent, Reagent",Bad,True
[CH2:8]=[CH:7][S:4](=[O:5])(=[O:6])[N:2]([CH3:1])[CH3:3].[O:15]=[C:14]([O:16][CH2:17][c:18]1[cH:19][cH:20][cH:21][cH:22][cH:23]1)[N:13]1[CH2:12][CH2:11][CH:10]([OH:9])[CH2:25][CH2:24]1>>[CH3:1][N:2]([CH3:3])[S:4](=[O:5])(=[O:6])[CH2:7][CH2:8][O:9][CH:10]1[CH2:11][CH2:12][N:13]([C:14](=[O:15])[O:16][CH2:17][c:18]2[cH:19][cH:20][cH:21][cH:22][cH:23]2)[CH2:24][CH2:25]1,"C1CCOC1, [H-].[Na+], O","Solvent, Reagent, Reagent","C1CCOC1, O, [H-].[Na+]","Solvent, Reagent, Reagent",Bad,False
