evaluation_id,source_index,reaction_smiles,condition_a,condition_a_slots,condition_b,condition_b_slots
10,64095,[Si:1]([O:8][CH2:9][C:10]1([CH3:38])[S:16][CH2:15][CH2:14][N:13]2[C:17]([C:20]3([C:23]4[CH:28]=[CH:27][C:26](B5OC(C)(C)C(C)(C)O5)=[CH:25][CH:24]=4)[CH2:22][CH2:21]3)=[N:18][N:19]=[C:12]2[CH2:11]1)([C:4]([CH3:7])([CH3:6])[CH3:5])([CH3:3])[CH3:2].Br[C:40]1[N:45]=[C:44]([C:46]#[N:47])[CH:43]=[CH:42][CH:41]=1>>[Si:1]([O:8][CH2:9][C:10]1([CH3:38])[S:16][CH2:15][CH2:14][N:13]2[C:17]([C:20]3([C:23]4[CH:28]=[CH:27][C:26]([C:40]5[N:45]=[C:44]([C:46]#[N:47])[CH:43]=[CH:42][CH:41]=5)=[CH:25][CH:24]=4)[CH2:21][CH2:22]3)=[N:18][N:19]=[C:12]2[CH2:11]1)([C:4]([CH3:5])([CH3:6])[CH3:7])([CH3:2])[CH3:3],"[Pd].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1, O, COCCOC, O=C([O-])[O-].[K+].[K+], O=C([O-])O.[Na+]","Catalyst, Solvent, Solvent, Reagent, Reagent","[Pd].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1, O, COCCOC, O=C([O-])[O-].[Na+].[Na+]","Catalyst, Solvent, Solvent, Reagent"
11,36909,[CH3:1][S:2]([NH2:5])(=[O:4])=[O:3].[F:8][C:9]1[CH:10]=[C:11]([CH:24]2[C:33]([CH3:35])([CH3:34])[CH2:32][C:31]3[C:26](=[CH:27][CH:28]=[C:29]([C:36](O)=[O:37])[CH:30]=3)[NH:25]2)[CH:12]=[C:13]([N:15]2[CH2:20][CH2:19][N:18]([CH:21]([CH3:23])[CH3:22])[CH2:17][CH2:16]2)[CH:14]=1>>[F:8][C:9]1[CH:10]=[C:11]([CH:24]2[C:33]([CH3:35])([CH3:34])[CH2:32][C:31]3[C:26](=[CH:27][CH:28]=[C:29]([C:36]([NH:5][S:2]([CH3:1])(=[O:4])=[O:3])=[O:37])[CH:30]=3)[NH:25]2)[CH:12]=[C:13]([N:15]2[CH2:16][CH2:17][N:18]([CH:21]([CH3:22])[CH3:23])[CH2:19][CH2:20]2)[CH:14]=1,"CN(C)C=O, O=C(n1ccnc1)n1ccnc1, [H-].[Na+]","Solvent, Reagent, Reagent","CN(C)c1ccncc1, ClCCl","Catalyst, Solvent"
12,7034,[Cl:1][C:2]1[CH:7]=[C:6]2[NH:8][C:9](=[O:27])[C:10]3([CH:14]([CH2:15][C:16]([CH3:19])([CH3:18])[CH3:17])[CH2:13][NH:12][CH:11]3[C:20]3[CH:25]=[CH:24][CH:23]=[C:22]([Cl:26])[CH:21]=3)[C:5]2=[CH:4][CH:3]=1.[C:35](Cl)([Cl:37])=[O:36]>>[Cl:1][C:2]1[CH:7]=[C:6]2[NH:8][C:9](=[O:27])[C:10]3([CH:14]([CH2:15][C:16]([CH3:17])([CH3:18])[CH3:19])[CH2:13][N:12]([C:35]([Cl:37])=[O:36])[CH:11]3[C:20]3[CH:25]=[CH:24][CH:23]=[C:22]([Cl:26])[CH:21]=3)[C:5]2=[CH:4][CH:3]=1,"ClCCl, Cc1ccccc1, O=C([O-])O.[Na+]","Solvent, Reagent, Reagent","ClCCl, CCN(CC)CC","Solvent, Reagent"
13,41939,C(OC([N:11]1[CH2:24][CH2:23][C:14]2([C:18](=[O:19])[N:17]([O:20][CH3:21])[C:16](=[S:22])[CH2:15]2)[CH2:13][CH2:12]1)=O)C1C=CC=CC=1>>[CH3:21][O:20][N:17]1[C:16](=[S:22])[CH2:15][C:14]2([CH2:23][CH2:24][NH:11][CH2:12][CH2:13]2)[C:18]1=[O:19],"CC(=O)O, Br, CCOCC","Solvent, Reagent, Reagent",CO,Solvent
14,23401,[Si:1]([O:8][C:9]1[C:17]2[N:16]=[C:15]([CH:18]([F:20])[F:19])[N:14]([C:21]3[N:26]=[C:25]([Cl:27])[CH:24]=[C:23](Cl)[N:22]=3)[C:13]=2[CH:12]=[CH:11][CH:10]=1)([C:4]([CH3:7])([CH3:6])[CH3:5])([CH3:3])[CH3:2].[NH:29]1[CH2:33][CH2:32][CH2:31][CH:30]1[CH2:34][OH:35]>>[Si:1]([O:8][C:9]1[C:17]2[N:16]=[C:15]([CH:18]([F:19])[F:20])[N:14]([C:21]3[N:22]=[C:23]([N:29]4[CH2:33][CH2:32][CH2:31][CH:30]4[CH2:34][OH:35])[CH:24]=[C:25]([Cl:27])[N:26]=3)[C:13]=2[CH:12]=[CH:11][CH:10]=1)([C:4]([CH3:5])([CH3:6])[CH3:7])([CH3:3])[CH3:2],"CN(C)C=O, O=C([O-])[O-].[K+].[K+], O","Solvent, Reagent, Reagent","CN(C)C=O, CCN(C(C)C)C(C)C","Solvent, Reagent"
15,4461,[Cl:1][C:2]1[C:12]([Br:13])=[CH:11][C:10]([N+:14]([O-:16])=[O:15])=[CH:9][C:3]=1[C:4]([O:6]CC)=[O:5]>>[Cl:1][C:2]1[C:12]([Br:13])=[CH:11][C:10]([N+:14]([O-:16])=[O:15])=[CH:9][C:3]=1[C:4]([OH:6])=[O:5],"O, CCO, [Na+].[OH-], Cl, C1CCOC1","Solvent, Solvent, Reagent, Reagent, Reagent","CCO, [Na+].[OH-]","Solvent, Reagent"
16,41895,C([N:11]1[CH2:25][CH2:24][N:14]2[C:15]3[N:23]=[CH:22][CH:21]=[CH:20][C:16]=3[NH:17][C:18](=[O:19])[CH:13]2[CH2:12]1)(OCC1C=CC=CC=1)=O>>[N:23]1[C:15]2[N:14]3[CH2:24][CH2:25][NH:11][CH2:12][CH:13]3[C:18](=[O:19])[NH:17][C:16]=2[CH:20]=[CH:21][CH:22]=1,"[Pd], CCO","Catalyst, Solvent","[C].[Pd], CO","Catalyst, Solvent"
17,13292,[CH3:1][O:2][C:3]1[CH:8]=[CH:7][C:6]([O:9][CH3:10])=[CH:5][C:4]=1[CH2:11][CH2:12][NH2:13]>>[CH3:1][O:2][C:3]1[CH:8]=[C:7]([N+:14]([O-:16])=[O:15])[C:6]([O:9][CH3:10])=[CH:5][C:4]=1[CH2:11][CH2:12][NH2:13],"CC(=O)O, O=[N+]([O-])O, O, [Na+].[OH-]","Solvent, Reagent, Reagent, Reagent","CC(=O)O, O=[N+]([O-])O","Solvent, Reagent"
18,1062,[CH3:1][O:2][C:3](=[O:17])[CH2:4][O:5][C:6]1[C:11]([F:12])=[CH:10][C:9]([N+:13]([O-])=O)=[CH:8][C:7]=1[F:16]>>[CH3:1][O:2][C:3](=[O:17])[CH2:4][O:5][C:6]1[C:7]([F:16])=[CH:8][C:9]([NH2:13])=[CH:10][C:11]=1[F:12],"[Pd], C1CCOC1, [HH]","Catalyst, Solvent, Reagent","[Pd], CCO","Catalyst, Solvent"
19,17449,[F:1][C:2]([F:14])([F:13])[C:3]1[CH:11]=[CH:10][CH:9]=[C:8]2[C:4]=1[CH2:5][CH2:6][C:7]2=[O:12]>>[F:1][C:2]([F:13])([F:14])[C:3]1[CH:11]=[CH:10][CH:9]=[C:8]2[C:4]=1[CH2:5][CH2:6][CH:7]2[OH:12],"ClCCl, CCN(CC)CC, O=CO","Solvent, Reagent, Reagent","CO, [BH4-].[Na+]","Solvent, Reagent"
20,38170,[NH2:1][C:2]1[N:6]([CH2:7][CH2:8][C:9](=[O:11])[NH2:10])[C:5]2[CH:12]=[CH:13][C:14]([N:16]([CH3:25])[C:17](=[O:24])[C:18]3[CH:23]=[CH:22][CH:21]=[CH:20][CH:19]=3)=[CH:15][C:4]=2[N:3]=1.[C:26]([O:30][C:31]([NH:33][C:34]1[S:35][CH:36]=[C:37]([C:39]2[S:43][C:42]([C:44](O)=[O:45])=[CH:41][CH:40]=2)[N:38]=1)=[O:32])([CH3:29])([CH3:28])[CH3:27]>>[C:26]([O:30][C:31](=[O:32])[NH:33][C:34]1[S:35][CH:36]=[C:37]([C:39]2[S:43][C:42]([C:44](=[O:45])[NH:1][C:2]3[N:6]([CH2:7][CH2:8][C:9](=[O:11])[NH2:10])[C:5]4[CH:12]=[CH:13][C:14]([N:16]([C:17](=[O:24])[C:18]5[CH:23]=[CH:22][CH:21]=[CH:20][CH:19]=5)[CH3:25])=[CH:15][C:4]=4[N:3]=3)=[CH:41][CH:40]=2)[N:38]=1)([CH3:29])([CH3:27])[CH3:28],"CN(C)C=O, O, On1nnc2ccccc21, CCN(C(C)C)C(C)C, ClCCCl","Solvent, Solvent, Reagent, Reagent, Reagent",CN(C)C=O,Solvent
21,20482,[CH3:1][C:2]1[O:6][N:5]=[C:4]([C:7]2[CH:12]=[CH:11][CH:10]=[CH:9][CH:8]=2)[C:3]=1[CH2:13][OH:14].Cl[C:16]1[CH:25]=[C:24]([C:26]([F:29])([F:28])[F:27])[C:19]([C:20]([O:22][CH3:23])=[O:21])=[CH:18][N:17]=1>>[CH3:23][O:22][C:20](=[O:21])[C:19]1[C:24]([C:26]([F:27])([F:28])[F:29])=[CH:25][C:16]([O:14][CH2:13][C:3]2[C:4]([C:7]3[CH:12]=[CH:11][CH:10]=[CH:9][CH:8]=3)=[N:5][O:6][C:2]=2[CH3:1])=[N:17][CH:18]=1,None,,C1CCOC1,Solvent
22,65039,[F:1][C:2]1[CH:7]=[CH:6][C:5]([C:8]2[O:9][C:10]3[CH:20]=[C:19]([N:21]([CH3:26])[S:22]([CH3:25])(=[O:24])=[O:23])[C:18](B4OC(C)(C)C(C)(C)O4)=[CH:17][C:11]=3[C:12]=2[C:13]([NH:15][CH3:16])=[O:14])=[CH:4][CH:3]=1.Cl[C:37]1[CH:38]=[CH:39][C:40]2[O:53][CH2:52][N:43]3[C:44]4[CH:45]=[CH:46][CH:47]=[CH:48][C:49]=4[C:50]([F:51])=[C:42]3[C:41]=2[N:54]=1>>[F:51][C:50]1[C:49]2[CH:48]=[CH:47][CH:46]=[CH:45][C:44]=2[N:43]2[CH2:52][O:53][C:40]3[CH:39]=[CH:38][C:37]([C:18]4[C:19]([N:21]([CH3:26])[S:22]([CH3:25])(=[O:24])=[O:23])=[CH:20][C:10]5[O:9][C:8]([C:5]6[CH:4]=[CH:3][C:2]([F:1])=[CH:7][CH:6]=6)=[C:12]([C:13]([NH:15][CH3:16])=[O:14])[C:11]=5[CH:17]=4)=[N:54][C:41]=3[C:42]=12,"O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.[Pd].[Pd], CCOC(C)=O, C1COCCO1.O","Catalyst, Solvent, Solvent","O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.[Pd].[Pd], O, C1COCCO1","Catalyst, Solvent, Solvent"
23,8239,[CH3:2][O:3][C:4](=[O:17])[CH:5]([CH2:7][C:8]1[CH:13]=[CH:12][C:11]([N+:14]([O-:16])=[O:15])=[CH:10][CH:9]=1)[NH2:6].[CH3:18][C:19]1[CH:20]=[C:21]([CH:25]=[C:26]([CH3:28])[CH:27]=1)[C:22](Cl)=[O:23]>>[CH3:2][O:3][C:4](=[O:17])[CH:5]([CH2:7][C:8]1[CH:13]=[CH:12][C:11]([N+:14]([O-:16])=[O:15])=[CH:10][CH:9]=1)[NH:6][C:22](=[O:23])[C:21]1[CH:25]=[C:26]([CH3:28])[CH:27]=[C:19]([CH3:18])[CH:20]=1,"ClCCl, CCN(CC)CC","Solvent, Reagent",None,
24,17516,[C:1]1([CH2:7][O:8][C:9]2[CH:10]=[C:11]3[C:15](=[CH:16][CH:17]=2)[C:14](=[O:18])[CH2:13][CH2:12]3)[CH:6]=[CH:5][CH:4]=[CH:3][CH:2]=1>>[C:1]1([CH2:7][O:8][C:9]2[CH:10]=[C:11]3[C:15](=[CH:16][CH:17]=2)[CH:14]([OH:18])[CH2:13][CH2:12]3)[CH:2]=[CH:3][CH:4]=[CH:5][CH:6]=1,"CO, C1CCOC1, [BH4-].[Na+], O","Solvent, Solvent, Reagent, Reagent","CO, [BH4-].[Na+]","Solvent, Reagent"
25,59567,Br[C:2]1[CH:3]=[C:4]([C:17]([OH:24])=[C:18]([C:20]([CH3:23])([CH3:22])[CH3:21])[CH:19]=1)[C:5]([NH:7][C:8]1[CH:13]=[CH:12][C:11]([C:14]#[N:15])=[CH:10][C:9]=1[Cl:16])=[O:6].[S:25]1[C:29]2[CH:30]=[CH:31][CH:32]=[CH:33][C:28]=2[CH:27]=[C:26]1B(O)O>>[S:25]1[C:26]([C:2]2[CH:19]=[C:18]([C:20]([CH3:23])([CH3:22])[CH3:21])[C:17]([OH:24])=[C:4]([CH:3]=2)[C:5]([NH:7][C:8]2[CH:13]=[CH:12][C:11]([C:14]#[N:15])=[CH:10][C:9]=2[Cl:16])=[O:6])=[CH:27][C:28]2[CH:33]=[CH:32][CH:31]=[CH:30][C:29]1=2,None,,"[Pd].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1, COCCOC, O=C([O-])[O-].[Na+].[Na+]","Catalyst, Solvent, Reagent"
26,149,[CH3:1][O:2][C:3]1[CH:28]=[CH:27][C:26]([N:29]2[CH:33]=[N:32][N:31]=[N:30]2)=[CH:25][C:4]=1[C:5]([N:7]1[CH2:11][CH2:10][C:9]([C:15]2[CH:20]=[CH:19][C:18]([O:21][CH3:22])=[C:17]([O:23][CH3:24])[CH:16]=2)([CH2:12][CH2:13][OH:14])[CH2:8]1)=[O:6].[CH3:41][S:42](Cl)(=[O:44])=[O:43]>>[CH3:1][O:2][C:3]1[CH:28]=[CH:27][C:26]([N:29]2[CH:33]=[N:32][N:31]=[N:30]2)=[CH:25][C:4]=1[C:5]([N:7]1[CH2:11][CH2:10][C:9]([C:15]2[CH:20]=[CH:19][C:18]([O:21][CH3:22])=[C:17]([O:23][CH3:24])[CH:16]=2)([CH2:12][CH2:13][O:14][S:42]([CH3:41])(=[O:44])=[O:43])[CH2:8]1)=[O:6],"ClCCl, CCN(CC)CC","Solvent, Reagent",ClCCl,Solvent
27,3808,[Br:1][C:2]1[C:7]([Cl:8])=[C:6]([F:9])[CH:5]=[C:4]([Br:10])[C:3]=1N>>[Br:1][C:2]1[CH:3]=[C:4]([Br:10])[CH:5]=[C:6]([F:9])[C:7]=1[Cl:8],"CN(C)C=O, CC(C)CCON=O","Solvent, Reagent","O, O=N[O-].[Na+], O=S(=O)(O)O, CC(C)O","Solvent, Reagent, Reagent, Reagent"
28,48647,C[O:2][C:3]([CH:5]1[CH2:9][CH2:8][CH:7]([NH:10][C:11]([O:13][C:14]([CH3:17])([CH3:16])[CH3:15])=[O:12])[CH2:6]1)=O>>[C:14]([O:13][C:11](=[O:12])[NH:10][CH:7]1[CH2:8][CH2:9][CH:5]([CH2:3][OH:2])[CH2:6]1)([CH3:17])([CH3:15])[CH3:16],C1CCOC1,Solvent,"C1CCOC1, [Al+3].[H-].[H-].[H-].[H-].[Li+]","Solvent, Reagent"
29,47506,Br[C:2]1[CH:3]=[N:4][CH:5]=[C:6]([Br:8])[CH:7]=1.[NH:15]1[CH2:19][CH2:18][CH2:17][CH2:16]1>>[Br:8][C:6]1[CH:5]=[N:4][CH:3]=[C:2]([N:15]2[CH2:19][CH2:18][CH2:17][CH2:16]2)[CH:7]=1,"c1ccc(P(c2ccccc2)c2ccc3ccccc3c2-c2c(P(c3ccccc3)c3ccccc3)ccc3ccccc23)cc1, Cc1ccccc1, CC(C)(C)[O-].[Na+]","Catalyst, Solvent, Reagent","c1ccc(P(c2ccccc2)c2ccc3ccccc3c2-c2c(P(c3ccccc3)c3ccccc3)ccc3ccccc23)cc1, CC(C)(C)[O-].[Na+]","Catalyst, Reagent"
30,21432,[NH2:23][C:24]([O:26][CH:27]([CH:63]([CH3:68])[CH:64]=[CH:65][CH:66]=[CH2:67])[CH:28]([CH3:62])[CH:29]([O:54][Si:55]([C:58]([CH3:61])([CH3:60])[CH3:59])([CH3:57])[CH3:56])[CH:30]([CH3:53])[C:31]([N:33]([CH2:35][CH:36]([CH3:52])[CH:37]([O:44][Si:45]([C:48]([CH3:51])([CH3:50])[CH3:49])([CH3:47])[CH3:46])[CH:38]([CH3:43])[CH:39]=[CH:40][CH2:41][OH:42])[CH3:34])=[O:32])=[O:25]>>[NH2:23][C:24]([O:26][CH:27]([CH:63]([CH3:68])[CH:64]=[CH:65][CH:66]=[CH2:67])[CH:28]([CH3:62])[CH:29]([O:54][Si:55]([C:58]([CH3:61])([CH3:60])[CH3:59])([CH3:56])[CH3:57])[CH:30]([CH3:53])[C:31]([N:33]([CH2:35][CH:36]([CH3:52])[CH:37]([O:44][Si:45]([C:48]([CH3:51])([CH3:49])[CH3:50])([CH3:46])[CH3:47])[CH:38]([CH3:43])[CH:39]=[CH:40][CH:41]=[O:42])[CH3:34])=[O:32])=[O:25],"ClCCl, CC(=O)OI1(OC(C)=O)(OC(C)=O)OC(=O)c2ccccc21","Solvent, Reagent","[Mn+4].[O-2].[O-2], ClCCl","Catalyst, Solvent"
31,40098,C([O:3][C:4](=[O:14])[CH2:5][S:6](=[O:13])(=[O:12])[NH:7][C:8]([CH3:11])([CH3:10])[CH3:9])C>>[C:8]([NH:7][S:6]([CH2:5][C:4]([OH:14])=[O:3])(=[O:13])=[O:12])([CH3:11])([CH3:9])[CH3:10],"CCO, O, [Na+].[OH-], Cl","Solvent, Solvent, Reagent, Reagent","CCO, [Na+].[OH-]","Solvent, Reagent"
32,38809,[S:3]1[C:7]2[CH:8]=[CH:9][CH:10]=[CH:11][C:6]=2[N:5]=[C:4]1[CH2:12][O:13][C:14]1[CH:19]=[CH:18][C:17]([NH:20][C:21](=[O:23])[CH3:22])=[CH:16][CH:15]=1.[CH3:24]I>>[S:3]1[C:7]2[CH:8]=[CH:9][CH:10]=[CH:11][C:6]=2[N:5]=[C:4]1[CH2:12][O:13][C:14]1[CH:19]=[CH:18][C:17]([N:20]([CH3:24])[C:21](=[O:23])[CH3:22])=[CH:16][CH:15]=1,"CN(C)C=O, [H-].[Na+], Cl.N","Solvent, Reagent, Reagent","CN(C)C=O, [H-].[Na+]","Solvent, Reagent"
33,38613,Br[C:2]1[CH:7]=[C:6]([F:8])[C:5]([NH:9][C:10]2[C:14]3[CH:15]=[N:16][CH:17]=[CH:18][C:13]=3[O:12][C:11]=2[C:19]([O:21][CH2:22][CH3:23])=[O:20])=[C:4]([F:24])[CH:3]=1>>[F:8][C:6]1[CH:7]=[C:2]([I:25])[CH:3]=[C:4]([F:24])[C:5]=1[NH:9][C:10]1[C:14]2[CH:15]=[N:16][CH:17]=[CH:18][C:13]=2[O:12][C:11]=1[C:19]([O:21][CH2:22][CH3:23])=[O:20],"[Cu+].[I-], C1COCCO1, ClCCl, [I-].[Na+], CN[C@@H]1CCCC[C@H]1NC","Catalyst, Solvent, Solvent, Reagent, Reagent","[Cu+].[I-], C1COCCO1, [I-].[Na+], CN[C@@H]1CCCC[C@H]1NC","Catalyst, Solvent, Reagent, Reagent"
